Interactor1	Interactor2	Complex.name	Complex.id	geneName1	geneName2	GATA4	TBX5	NKX25
Q9BWJ5	Q9UDW3	18S U11/U12 snRNP	430	SF3B5	ZMAT5	1	0	1
Q9BWJ5	Q15696	18S U11/U12 snRNP	430	SF3B5	ZRSR2	1	0	1
P14678	P62314	18S U11/U12 snRNP	430	SNRPB	SNRPD1	1	0	1
P14678	P62316	18S U11/U12 snRNP	430	SNRPB	SNRPD2	1	0	1
P14678	P62318	18S U11/U12 snRNP	430	SNRPB	SNRPD3	1	0	1
P14678	P62304	18S U11/U12 snRNP	430	SNRPB	SNRPE	1	0	1
P14678	P62306	18S U11/U12 snRNP	430	SNRPB	SNRPF	1	0	1
P14678	P62308	18S U11/U12 snRNP	430	SNRPB	SNRPG	1	0	1
P14678	Q16560	18S U11/U12 snRNP	430	SNRPB	SNRNP35	1	0	1
P14678	P67809	18S U11/U12 snRNP	430	SNRPB	YBX1	1	0	1
P14678	Q8TBF4	18S U11/U12 snRNP	430	SNRPB	ZCRB1	1	0	1
P14678	Q9UDW3	18S U11/U12 snRNP	430	SNRPB	ZMAT5	1	0	1
P14678	Q15696	18S U11/U12 snRNP	430	SNRPB	ZRSR2	1	0	1
P62314	P62316	18S U11/U12 snRNP	430	SNRPD1	SNRPD2	1	0	1
P62314	P62318	18S U11/U12 snRNP	430	SNRPD1	SNRPD3	1	0	1
P62314	P62304	18S U11/U12 snRNP	430	SNRPD1	SNRPE	1	0	1
P62314	P62306	18S U11/U12 snRNP	430	SNRPD1	SNRPF	1	0	1
P62314	P62308	18S U11/U12 snRNP	430	SNRPD1	SNRPG	1	0	1
P62314	Q16560	18S U11/U12 snRNP	430	SNRPD1	SNRNP35	1	0	1
P62314	P67809	18S U11/U12 snRNP	430	SNRPD1	YBX1	1	0	1
P62314	Q8TBF4	18S U11/U12 snRNP	430	SNRPD1	ZCRB1	1	0	1
P62314	Q9UDW3	18S U11/U12 snRNP	430	SNRPD1	ZMAT5	1	0	1
P62314	Q15696	18S U11/U12 snRNP	430	SNRPD1	ZRSR2	1	0	1
P62316	P62318	18S U11/U12 snRNP	430	SNRPD2	SNRPD3	1	0	1
P62316	P62304	18S U11/U12 snRNP	430	SNRPD2	SNRPE	1	0	1
P62316	P62306	18S U11/U12 snRNP	430	SNRPD2	SNRPF	1	0	1
P62316	P62308	18S U11/U12 snRNP	430	SNRPD2	SNRPG	1	0	1
P62316	Q16560	18S U11/U12 snRNP	430	SNRPD2	SNRNP35	1	0	1
P62316	P67809	18S U11/U12 snRNP	430	SNRPD2	YBX1	1	0	1
P62316	Q8TBF4	18S U11/U12 snRNP	430	SNRPD2	ZCRB1	1	0	1
P62316	Q9UDW3	18S U11/U12 snRNP	430	SNRPD2	ZMAT5	1	0	1
P62316	Q15696	18S U11/U12 snRNP	430	SNRPD2	ZRSR2	1	0	1
P62318	P62304	18S U11/U12 snRNP	430	SNRPD3	SNRPE	1	0	1
P62318	P62306	18S U11/U12 snRNP	430	SNRPD3	SNRPF	1	0	1
P62318	P62308	18S U11/U12 snRNP	430	SNRPD3	SNRPG	1	0	1
P62318	Q16560	18S U11/U12 snRNP	430	SNRPD3	SNRNP35	1	0	1
P62318	P67809	18S U11/U12 snRNP	430	SNRPD3	YBX1	1	0	1
P62318	Q8TBF4	18S U11/U12 snRNP	430	SNRPD3	ZCRB1	1	0	1
P62318	Q9UDW3	18S U11/U12 snRNP	430	SNRPD3	ZMAT5	1	0	1
P62318	Q15696	18S U11/U12 snRNP	430	SNRPD3	ZRSR2	1	0	1
P62304	P62306	18S U11/U12 snRNP	430	SNRPE	SNRPF	1	0	1
P62304	P62308	18S U11/U12 snRNP	430	SNRPE	SNRPG	1	0	1
P62304	Q16560	18S U11/U12 snRNP	430	SNRPE	SNRNP35	1	0	1
P62304	P67809	18S U11/U12 snRNP	430	SNRPE	YBX1	1	0	1
P62304	Q8TBF4	18S U11/U12 snRNP	430	SNRPE	ZCRB1	1	0	1
P62304	Q9UDW3	18S U11/U12 snRNP	430	SNRPE	ZMAT5	1	0	1
P62304	Q15696	18S U11/U12 snRNP	430	SNRPE	ZRSR2	1	0	1
P62306	P62308	18S U11/U12 snRNP	430	SNRPF	SNRPG	1	0	1
P62306	Q16560	18S U11/U12 snRNP	430	SNRPF	SNRNP35	1	0	1
P62306	P67809	18S U11/U12 snRNP	430	SNRPF	YBX1	1	0	1
P62306	Q8TBF4	18S U11/U12 snRNP	430	SNRPF	ZCRB1	1	0	1
P62306	Q9UDW3	18S U11/U12 snRNP	430	SNRPF	ZMAT5	1	0	1
P62306	Q15696	18S U11/U12 snRNP	430	SNRPF	ZRSR2	1	0	1
P62308	Q16560	18S U11/U12 snRNP	430	SNRPG	SNRNP35	1	0	1
P62308	P67809	18S U11/U12 snRNP	430	SNRPG	YBX1	1	0	1
P62308	Q8TBF4	18S U11/U12 snRNP	430	SNRPG	ZCRB1	1	0	1
P62308	Q9UDW3	18S U11/U12 snRNP	430	SNRPG	ZMAT5	1	0	1
P62308	Q15696	18S U11/U12 snRNP	430	SNRPG	ZRSR2	1	0	1
Q16560	P67809	18S U11/U12 snRNP	430	SNRNP35	YBX1	1	0	1
Q16560	Q8TBF4	18S U11/U12 snRNP	430	SNRNP35	ZCRB1	1	0	1
Q16560	Q9UDW3	18S U11/U12 snRNP	430	SNRNP35	ZMAT5	1	0	1
Q16560	Q15696	18S U11/U12 snRNP	430	SNRNP35	ZRSR2	1	0	1
P67809	Q8TBF4	18S U11/U12 snRNP	430	YBX1	ZCRB1	1	0	1
P67809	Q9UDW3	18S U11/U12 snRNP	430	YBX1	ZMAT5	1	0	1
P67809	Q15696	18S U11/U12 snRNP	430	YBX1	ZRSR2	1	0	1
Q8TBF4	Q9UDW3	18S U11/U12 snRNP	430	ZCRB1	ZMAT5	1	0	1
Q8TBF4	Q15696	18S U11/U12 snRNP	430	ZCRB1	ZRSR2	1	0	1
Q9UDW3	Q15696	18S U11/U12 snRNP	430	ZMAT5	ZRSR2	1	0	1
O60306	Q8WUQ7	C complex spliceosome	1181	AQR	CACTIN	1	0	1
O60306	O60508	C complex spliceosome	1181	AQR	CDC40	1	0	1
O60306	Q99459	C complex spliceosome	1181	AQR	CDC5L	1	0	1
O60306	Q9BZJ0	C complex spliceosome	1181	AQR	CRNKL1	1	0	1
O60306	Q9P013	C complex spliceosome	1181	AQR	CWC15	1	0	1
O60306	Q9HCG8	C complex spliceosome	1181	AQR	CWC22	1	0	1
O60306	Q9BUQ8	C complex spliceosome	1181	AQR	DDX23	1	0	1
O60306	Q9UJV9	C complex spliceosome	1181	AQR	DDX41	1	0	1
O60306	P17844	C complex spliceosome	1181	AQR	DDX5	1	0	1
O60306	Q96DF8	C complex spliceosome	1181	AQR	ESS2	1	0	1
O60306	Q9H5Z1	C complex spliceosome	1181	AQR	DHX35	1	0	1
O60306	Q92620	C complex spliceosome	1181	AQR	DHX38	1	0	1
O60306	Q14562	C complex spliceosome	1181	AQR	DHX8	1	0	1
O60306	Q15029	C complex spliceosome	1181	AQR	EFTUD2	1	0	1
O60306	P38919	C complex spliceosome	1181	AQR	EIF4A3	1	0	1
O60306	Q14331	C complex spliceosome	1181	AQR	FRG1	1	0	1
O60306	Q9BRR8	C complex spliceosome	1181	AQR	GPATCH1	1	0	1
O60306	P09651	C complex spliceosome	1181	AQR	HNRNPA1	1	0	1
O60306	P22626	C complex spliceosome	1181	AQR	HNRNPA2B1	1	0	1
O60306	P51991	C complex spliceosome	1181	AQR	HNRNPA3	1	0	1
O60306	P07910	C complex spliceosome	1181	AQR	HNRNPC	1	0	1
O60306	P52597	C complex spliceosome	1181	AQR	HNRNPF	1	0	1
O60306	P31943	C complex spliceosome	1181	AQR	HNRNPH1	1	0	1
O60306	P61978	C complex spliceosome	1181	AQR	HNRNPK	1	0	1
O60306	P52272	C complex spliceosome	1181	AQR	HNRNPM	1	0	1
O60306	O43390	C complex spliceosome	1181	AQR	HNRNPR	1	0	1
O60306	Q00839	C complex spliceosome	1181	AQR	HNRNPU	1	0	1
O60306	Q9ULR0	C complex spliceosome	1181	AQR	ISY1	1	0	1
O60306	Q9Y333	C complex spliceosome	1181	AQR	LSM2	1	0	1
O60306	P62310	C complex spliceosome	1181	AQR	LSM3	1	0	1
O60306	P61326	C complex spliceosome	1181	AQR	MAGOH	1	0	1
O60306	Q9BRX9	C complex spliceosome	1181	AQR	WDR83	1	0	1
O60306	P11940	C complex spliceosome	1181	AQR	PABPC1	1	0	1
O60306	O43660	C complex spliceosome	1181	AQR	PLRG1	1	0	1
