Interactor1	Interactor2	geneName1	geneName2	Complex.name	Complex.id
P36542	P18859	ATP5F1C	ATP5PF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P56134	ATP5F1C	ATP5MF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	O75964	ATP5F1C	ATP5MG	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P48047	ATP5F1C	ATP5PO	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	Q6IAQ7	ATP5F1C	ATP5IF1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P00846	ATP5F1C	MT-ATP6	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P36542	P03928	ATP5F1C	MT-ATP8	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P56381	ATP5F1D	ATP5F1E	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P24539	ATP5F1D	ATP5PB	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P05496	ATP5F1D	ATP5MC1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	O75947	ATP5F1D	ATP5PD	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P56385	ATP5F1D	ATP5ME	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P18859	ATP5F1D	ATP5PF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P56134	ATP5F1D	ATP5MF	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	O75964	ATP5F1D	ATP5MG	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P48047	ATP5F1D	ATP5PO	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	Q6IAQ7	ATP5F1D	ATP5IF1	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P00846	ATP5F1D	MT-ATP6	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
P30049	P03928	ATP5F1D	MT-ATP8	F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	563
