Gene,BH
CDC42BPA,0.0787488151658768
CDC42BPG,0.106603934987169
CDC42EP2,1
CDC45,0.00462940824865511
CDC6,0.00462940824865511
CDC7,0.00462940824865511
CDC73,0.00462940824865511
CDCA2,0.701476510067114
CDCA7,0.786839612929792
CDCA8,0.367001656543346
CDCP2,1
CDH16,0.106603934987169
CDH18,0.00462940824865511
CDH19,0.156224144415194
CDH20,1
CDH23,0.132821742605915
CDH24,0.00462940824865511
CDH26,1
CDH3,0.00462940824865511
CDH6,0.0441679957469431
CDHR2,0.00462940824865511
CDHR3,0.132821742605915
CDHR5,1
CDK13,0.132821742605915
CDK14,0.0787488151658768
CDK15,1
CDK5R2,1
CDK5RAP2,0.00462940824865511
CDK8,0.00462940824865511
CDKL1,1
CDKL2,0.106603934987169
CDKL4,1
CDKN1A,0.00462940824865511
CDON,0.00462940824865511
