"SUID","BH","name","selected","shared name","uidA","uidB"
"1034","0.0464454976303318","SMAD6","false","SMAD6","O43541","O43541"
"1035","0.00450255102040816","MAVS","false","MAVS","Q7Z434","Q7Z434"
"1036","0.282692307692308","MARCH5","false","MARCH5","Q9NX47",""
"1037","0.303875968992248","GANAB","false","GANAB","F5H6X6","F5H6X6"
"1038","0.718203309692671","NOX5","false","NOX5","","Q96PH1"
"1039","0.182835820895522","RNF207","false","RNF207","","Q6ZRF8"
"1040","0.00450255102040816","NTRK1","false","NTRK1","P04629","P04629"
"1041","0.347415066469719","CYP3A4","false","CYP3A4","P08684","P08684"
"1042","1.0","UVSSA","false","UVSSA","Q2YD98",""
"1043","0.871583514099783","ASNA1","false","ASNA1","O43681","O43681"
"1044","1.0","POLE","false","POLE","","Q07864"
"1045","1.0","LIG1","false","LIG1","P18858",""
"1046","0.430769230769231","SON","false","SON","P18583","P18583"
"1047","0.00450255102040816","HSPA8","false","HSPA8","P11142","P11142"
"1048","1.0","CDH9","false","CDH9","","Q9ULB4"
"1049","0.00450255102040816","LAMA5","false","LAMA5","O15230","O15230"
"1050","0.00450255102040816","LAMB2","false","LAMB2","P55268","P55268"
"1051","0.00450255102040816","COPB2","false","COPB2","","P35606"
"1052","0.00450255102040816","NBAS","false","NBAS","A2RRP1","A2RRP1"
"1053","0.00450255102040816","ADH1B","false","ADH1B","V9HW50","P00325"
"1054","0.589473684210526","ACADVL","false","ACADVL","P49748","P49748"
"1055","1.0","ARFGEF2","false","ARFGEF2","","Q9Y6D5"
"1056","0.00450255102040816","PAF1","false","PAF1","A0A024R0H6","A0A024R0H6"
"1057","0.00450255102040816","SMAD4","false","SMAD4","A0A024R274","A0A024R274"
"1058","0.387023977433004","UHRF2","false","UHRF2","Q96PU4","Q96PU4"
"1059","0.905263157894737","TWF2","false","TWF2","Q6IBS0","Q6IBS0"
"1060","0.00450255102040816","KLF4","false","KLF4","O43474","O43474"
"1061","0.00450255102040816","EGR1","false","EGR1","P18146","P18146"
"1062","0.0464454976303318","PTPN13","false","PTPN13","Q12923","Q12923"
"1063","0.589473684210526","MYH11","false","MYH11","","A0A024QZJ4"
"1064","0.687303506650544","PPIB","false","PPIB","","P23284"
"1065","0.00450255102040816","COL7A1","false","COL7A1","Q02388","Q02388"
"1066","0.569191919191919","FCHO1","false","FCHO1","A0A0C3SFZ9","A0A0C3SFZ9"
